OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
3.201: [GC (Allocation Failure) [PSYoungGen: 10996K->2785K(14336K)] 42791K->34588K(58368K), 0.0010141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.246: [GC (Allocation Failure) [PSYoungGen: 9939K->1728K(14336K)] 41742K->33547K(58368K), 0.0003632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.293: [GC (Allocation Failure) [PSYoungGen: 8883K->672K(14336K)] 40702K->32499K(58368K), 0.0005553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.294: [GC (Allocation Failure) [PSYoungGen: 7826K->7139K(14336K)] 39653K->39590K(58368K), 0.0011040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.296: [GC (Allocation Failure) [PSYoungGen: 14293K->6755K(14336K)] 46745K->39206K(58368K), 0.0012660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.341: [GC (Allocation Failure) [PSYoungGen: 13908K->4642K(14336K)] 46360K->37101K(58368K), 0.0011187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.388: [GC (Allocation Failure) [PSYoungGen: 11796K->3585K(14336K)] 44255K->36068K(58368K), 0.0011622 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.390: [GC (Allocation Failure) [PSYoungGen: 10740K->2529K(14336K)] 43223K->35020K(58368K), 0.0010463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.450: [GC (Allocation Failure) [PSYoungGen: 9683K->1472K(14336K)] 42174K->33971K(58368K), 0.0005875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.497: [GC (Allocation Failure) [PSYoungGen: 8627K->416K(14336K)] 41126K->32931K(58368K), 0.0003545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.498: [GC (Allocation Failure) [PSYoungGen: 7570K->7139K(14336K)] 40085K->40022K(58368K), 0.0009143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.500: [GC (Allocation Failure) [PSYoungGen: 14293K->6499K(14336K)] 47177K->39382K(58368K), 0.0013032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.545: [GC (Allocation Failure) [PSYoungGen: 13653K->5442K(14336K)] 46536K->38333K(58368K), 0.0009921 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.592: [GC (Allocation Failure) [PSYoungGen: 12597K->4386K(14336K)] 45488K->37285K(58368K), 0.0008709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.594: [GC (Allocation Failure) [PSYoungGen: 11540K->3329K(14336K)] 44439K->36236K(58368K), 0.0006245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.638: [GC (Allocation Failure) [PSYoungGen: 10472K->672K(14336K)] 43379K->33595K(58368K), 0.0004905 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
